source_id,component_a,component_b
1703314592858616960,1703314592858617025,1703314592858617027
1729026466116588544,1729026466116588609,1729026466116588615
1783913498162557696,1783913498162557761,1783913498162557763
2216740923364878464,2216740923364878529,2216740923364878533
2216740923364878464,2216740923364878533,2216740923364878535
1915945641862093696,1915945641862093761,1915945641862093763
347285940250887296,347285940250887361,347285940250887363
1045166002126206848,1045166002126206913,1045166002126206915
4956574748452174592,4956574748452174657,4956574748452174659
1599341745383363328,1599341745383363393,1599341745383363397
827031141513223936,827031141513224001,827031141513224003
3992914344995211136,3992914344995211201,3992914344995211203
1537658249711963904,1537658249711963969,1537658249711963971
1475457506834977280,1475457506834977345,1475457506834977347
1469230594530741760,1469230594530741825,1469230594530741827
3711531005707407104,3711531005707407169,3711531005707407171
3728132222538228864,3728132222538228929,3728132222538228931
1618050348048027648,1618050348048027715,1618050348048027717
1618050348048027648,1618050348048027713,1618050348048027715
1489600073930470912,1489600073930470977,1489600073930470979
1185445780111141248,1185445780111141313,1185445780111141315
1183277886779443840,1183277886779443905,1183277886779443907
1356637374029266176,1356637374029266241,1356637374029266243
5077935264216200832,5077935264216200897,5077935264216200899
6680426255713853824,6680426255713853891,6680426255713853893
