group,n_after_binning,signal,noise,snr,noise_signal_ratio,snr_reason,removed_source,source_reason,n_removed_points,n_final,outlier_fraction,max_abs_local_z
"source_id=362059596955069568, lensComponentSourceId=362059596955069633",34,14.906376139322958,9.706572532653809,1.5356992480277183,0.6511691669344041,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,32,0.058823529411764705,5.022336238135417
"source_id=362059596955069568, lensComponentSourceId=362059596955069635",36,97.25561080613932,9.361902594566345,10.388445064851085,0.09626079685240505,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,7,29,0.19444444444444445,41.17534274194848
"source_id=362059596955069568, lensComponentSourceId=362059596955069637",28,16.909610557556142,5.162785768508911,3.2752880548905456,0.30531665711259653,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,28,0.0,3.955261703536636
"source_id=534928457206279296, lensComponentSourceId=534928457206279361",46,6.541200637817383,5.626204570134481,1.162631140812043,0.8601180244505984,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,3,43,0.06521739130434782,6.252271495406709
"source_id=534928457206279296, lensComponentSourceId=534928457206279363",23,39.76504516601562,5.160298824310303,7.705957836914686,0.12976972119021876,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,23,0.0,2.29021538749642
"source_id=586555269774257280, lensComponentSourceId=586555269774257345",31,253.15324958225756,17.429678721924947,14.524263678125854,0.06885030609200807,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,29,0.06451612903225806,8.283321061677887
"source_id=586555269774257280, lensComponentSourceId=586555269774257347",26,345.9808654785157,14.888624946276348,23.237932765916415,0.043033087756701054,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,3,23,0.11538461538461539,6.426894499462581
"source_id=646821082640500352, lensComponentSourceId=646821082640500417",29,6.090667724609403,9.15819787979126,0.6650508980646994,1.5036443119015457,ok,True,bad_snr_low (snr=0.665 < min_snr=0.800),0,0,,
"source_id=646821082640500352, lensComponentSourceId=646821082640500419",28,9.031140136718761,6.5913461446762085,1.370151094858394,0.7298465138279882,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,27,0.03571428571428571,5.4984627217179005
"source_id=658626465973611648, lensComponentSourceId=658626465973611713",30,9.226891326904294,6.988277077674866,1.3203385075244123,0.7573815307977076,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,30,0.0,2.429174035496983
"source_id=658626465973611648, lensComponentSourceId=658626465973611715",29,22.654069900512695,6.062923908233643,3.7364925312270127,0.2676306701117943,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,29,0.0,2.27842619844806
"source_id=732123458171165824, lensComponentSourceId=732123458171165889",36,42.00593376159668,7.360659599304199,5.706816514863354,0.1752290436174895,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,36,0.0,3.272251232269752
"source_id=732123458171165824, lensComponentSourceId=732123458171165891",32,5.472973251342779,5.623602628707886,0.9732147900002465,1.0275224033532688,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,31,0.03125,5.099246384275799
"source_id=759634476048509952, lensComponentSourceId=759634476048510017",36,247.6327161822927,14.844109694163006,16.682220846135806,0.05994405716260706,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,36,0.0,2.302119858113253
"source_id=759634476048509952, lensComponentSourceId=759634476048510019",21,46.80732345581055,6.308162689208984,7.420119892576832,0.13476871189108558,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,21,0.0,1.5058404562171763
"source_id=768228877406799488, lensComponentSourceId=768228877406799553",21,25.324289321899414,5.990029907226562,4.227740047065105,0.23653299135413952,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,21,0.0,3.305883123872086
"source_id=768228877406799488, lensComponentSourceId=768228877406799555",19,19.148359680175773,4.600594997406006,4.162148524478326,0.24026052749411142,ok,True,less_than_20_points_after_cleaning,0,0,0.0,3.8687303332772944
"source_id=798737095262153856, lensComponentSourceId=798737095262153921",21,3.7746658325195312,5.18344259262085,0.7282160002877521,1.3732189344986285,ok,True,bad_snr_low (snr=0.728 < min_snr=0.800),0,0,,
"source_id=798737095262153856, lensComponentSourceId=798737095262153923",18,14.181551170349117,4.785086512565613,2.963697967238092,0.3374162991824409,ok,True,less_than_20_points_after_cleaning,1,0,0.05555555555555555,4.145765900145982
"source_id=842636299591976576, lensComponentSourceId=842636299591976641",50,6.305118433634448,6.183839321136475,1.0196122677514339,0.9807649747146677,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,50,0.0,3.67253962362964
"source_id=842636299591976576, lensComponentSourceId=842636299591976643",28,9.36810836791992,4.574043035507202,2.0481023670301166,0.488256845017989,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,28,0.0,2.0872925169866967
"source_id=928565336620746368, lensComponentSourceId=928565336620746433",29,22.503500366210922,5.482703685760498,4.104453141368244,0.24363781618582303,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,3,26,0.10344827586206896,9.370663853410155
"source_id=928565336620746368, lensComponentSourceId=928565336620746435",18,16.991511917114252,6.755318760871887,2.5152790739546407,0.3975701982157203,ok,True,less_than_20_points_after_cleaning,0,0,0.0,2.1883215104945073
"source_id=1002696639653430912, lensComponentSourceId=1002696639653430977",39,47.324590301513666,6.908411026000977,6.850285850595679,0.1459793097412195,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,38,0.02564102564102564,5.814888800689921
"source_id=1002696639653430912, lensComponentSourceId=1002696639653430979",15,9.112023099263489,4.779206991195679,1.9065972903140174,0.5244946088407058,ok,True,less_than_20_points_after_cleaning,1,0,0.06666666666666667,9.713877937380015
"source_id=1065585960278240384, lensComponentSourceId=1065585960278240449",54,73.89098307291715,80.89311790466309,0.9134396718395954,1.0947630487584132,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,53,0.018518518518518517,5.901590170736813
"source_id=1065585960278240384, lensComponentSourceId=1065585960278240451",34,11.338978385925294,5.1693196296691895,2.193514659230103,0.4558893626683069,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,3,31,0.08823529411764706,6.692851118726042
"source_id=1283010910042315904, lensComponentSourceId=1283010910042315969",55,9.590745544433588,7.703466892242432,1.2449908175878175,0.8032187754906581,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,53,0.03636363636363636,7.351051944461701
"source_id=1283010910042315904, lensComponentSourceId=1283010910042315971",22,12.799410216013587,4.518443293717512,2.8327035184462783,0.35301964836351607,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,22,0.0,3.208360911068165
