componentID,SourceID,RFprob_real,RFpred_real,EDSMprob_real,EDSMpred_real,RFprob_synth,RFpred_synth,EDSMprob_synth,EDSMpred_synth,final_pred_real,final_pred_synth,final_pred
63971411866955969,63971411866955904,0.306,False,0.5708684325218201,True,0.546,False,0.45422834157943726,True,True,True,True
63971411866955971,63971411866955904,,False,,False,,False,,False,False,False,False
76904623545392577,76904623545392512,0.078,False,0.15589512884616852,False,0.16,False,0.20006002485752106,False,False,False,False
76904623545392579,76904623545392512,,False,,False,,False,,False,False,False,False
76904623545392581,76904623545392512,,False,,False,,False,,False,False,False,False
76904623545392583,76904623545392512,,False,,False,,False,,False,False,False,False
76904623545392585,76904623545392512,,False,,False,,False,,False,False,False,False
78702389482720577,78702389482720512,,False,,False,,False,,False,False,False,False
83871575895472833,83871575895472768,1.0,True,0.997328519821167,True,1.0,True,0.6798453330993652,True,True,True,True
83871575895472835,83871575895472768,,False,,False,,False,,False,False,False,False
83871575895472837,83871575895472768,,False,,False,,False,,False,False,False,False
83871575895472839,83871575895472768,,False,,False,,False,,False,False,False,False
83871575895472841,83871575895472768,,False,,False,,False,,False,False,False,False
83871575895472843,83871575895472768,,False,,False,,False,,False,False,False,False
114294031844958785,114294031844958720,0.996,True,0.9963262677192688,True,0.998,True,0.6163569092750549,True,True,True,True
114294031844958787,114294031844958720,0.93,True,0.9040199518203735,True,0.922,True,0.6874649524688721,True,True,True,True
175720825910626369,175720825910626304,1.0,True,0.9954245686531067,True,1.0,True,0.7089726328849792,True,True,True,True
175720825910626371,175720825910626304,0.074,False,0.4171653687953949,False,0.308,False,0.1806696057319641,False,False,False,False
196343055547397953,196343055547397888,1.0,True,0.9987308382987976,True,1.0,True,0.7475855350494385,True,True,True,True
196343055547397955,196343055547397888,0.998,True,0.9995181560516357,True,0.988,True,0.5913546085357666,True,True,True,True
291933771834449857,291933771834449792,1.0,True,0.9995881915092468,True,0.988,True,0.9715994596481323,True,True,True,True
291933771834449859,291933771834449792,1.0,True,0.9984478950500488,True,0.992,True,0.694011926651001,True,True,True,True
291933771834449861,291933771834449792,,False,,False,,False,,False,False,False,False
318810027903595457,318810027903595392,1.0,True,0.9839277863502502,True,1.0,True,0.5492548942565918,True,True,True,True
318810027903595459,318810027903595392,0.992,True,0.6828193068504333,True,1.0,True,0.45398786664009094,True,True,True,True
318810027903595461,318810027903595392,,False,,False,,False,,False,False,False,False
322056271561143745,322056271561143680,0.99,True,0.9225907325744629,True,1.0,True,0.9342731833457947,True,True,True,True
322056271561143747,322056271561143680,0.996,True,0.9905513525009155,True,0.974,True,0.7498635053634644,True,True,True,True
328069053976561601,328069053976561536,1.0,True,0.9986686706542969,True,0.988,True,0.851637065410614,True,True,True,True
337933769222851911,337933769222851840,,False,,False,,False,,False,False,False,False
337934520841357633,337934520841357568,1.0,True,0.998475968837738,True,1.0,True,0.6262533664703369,True,True,True,True
337934520841357637,337934520841357568,,False,,False,,False,,False,False,False,False
347285940250887361,347285940250887296,0.842,True,0.9424121975898743,True,0.994,True,0.9625693559646606,True,True,True,True
347285940250887363,347285940250887296,0.96,True,0.9782938957214355,True,0.99,True,0.9698269963264465,True,True,True,True
350937280929196993,350937280929196928,0.042,False,0.4296245872974396,False,0.022,False,0.31287848949432373,False,False,False,False
350937280929196995,350937280929196928,,False,,False,,False,,False,False,False,False
350937280929196997,350937280929196928,0.796,True,0.9858441352844238,True,0.684,True,0.4448314905166626,True,True,True,True
350937280929196999,350937280929196928,0.962,True,0.9943593144416809,True,1.0,True,0.9701901078224182,True,True,True,True
372057559265314753,372057559265314688,0.998,True,0.9947031140327454,True,0.996,True,0.8879663944244385,True,True,True,True
372057559265314755,372057559265314688,1.0,True,0.9982196688652039,True,0.98,True,0.8756979703903198,True,True,True,True
380075812236197825,380075812236197760,1.0,True,0.9997610449790955,True,0.99,True,0.5582764744758606,True,True,True,True
380075812236197827,380075812236197760,,False,,False,,False,,False,False,False,False
380075812236197829,380075812236197760,,False,,False,,False,,False,False,False,False
388369978199697601,388369978199697536,1.0,True,0.93726646900177,True,1.0,True,0.8840250968933105,True,True,True,True
388369978199697603,388369978199697536,,False,,False,,False,,False,False,False,False
388369978199697605,388369978199697536,,False,,False,,False,,False,False,False,False
395754921063313089,395754921063313024,1.0,True,0.726349413394928,True,0.95,True,0.5869786143302917,True,True,True,True
395754921063313093,395754921063313024,0.804,True,0.5792540907859802,True,0.6,False,0.3431042432785034,False,True,False,True
395754921063313095,395754921063313024,,False,,False,,False,,False,False,False,False
549281756875772737,549281756875772672,1.0,True,0.9983893632888794,True,0.974,True,0.17336226999759674,False,True,True,True
549281756875772739,549281756875772672,1.0,True,0.9905084371566772,True,0.878,True,0.7761366963386536,True,True,True,True
549718675305852737,549718675305852672,0.962,True,0.9752551913261414,True,0.954,True,0.3455254137516022,False,True,True,True
549718675305852739,549718675305852672,1.0,True,0.9980650544166565,True,0.994,True,0.4387796223163605,True,True,True,True
549718675305852741,549718675305852672,,False,,False,,False,,False,False,False,False
549718675305852743,549718675305852672,,False,,False,,False,,False,False,False,False
580537088584591681,580537088584591616,0.004,False,0.10189172625541687,False,0.104,False,0.060620833188295364,False,False,False,False
580537088584591683,580537088584591616,,False,,False,,False,,False,False,False,False
580537088584591685,580537088584591616,0.998,True,0.9985780715942383,True,1.0,True,0.9228793978691101,True,True,True,True
580537088584591687,580537088584591616,,False,,False,,False,,False,False,False,False
580537088584591689,580537088584591616,,False,,False,,False,,False,False,False,False
580537088584591691,580537088584591616,,False,,False,,False,,False,False,False,False
607381012141768769,607381012141768704,0.996,True,0.9976812601089478,True,0.952,True,0.8452191352844238,True,True,True,True
607381012141768771,607381012141768704,0.916,True,0.9390956163406372,True,1.0,True,0.7561150193214417,True,True,True,True
613773504027885377,613773504027885312,0.998,True,0.966752290725708,True,1.0,True,0.21135659515857697,False,True,True,True
613773504027885379,613773504027885312,1.0,True,0.9946666955947876,True,0.998,True,0.9079347252845764,True,True,True,True
621369175165121473,621369175165121408,0.994,True,0.9929766058921814,True,0.806,True,0.4272843897342682,True,True,True,True
621369175165121475,621369175165121408,,False,,False,,False,,False,False,False,False
